"Variable.Name","Variable.Decision"
"YOB","Rejected"
"Gender","Confirmed"
"Income","Rejected"
"HouseholdStatus","Rejected"
"EducationLevel","Rejected"
"Q124742","Rejected"
"Q124122","Rejected"
"Q123464","Tentative"
"Q123621","Confirmed"
"Q122769","Rejected"
"Q122770","Rejected"
"Q122771","Confirmed"
"Q122120","Rejected"
"Q121699","Confirmed"
"Q121700","Rejected"
"Q120978","Rejected"
"Q121011","Rejected"
"Q120379","Confirmed"
"Q120650","Confirmed"
"Q120472","Rejected"
"Q120194","Rejected"
"Q120012","Rejected"
"Q120014","Rejected"
"Q119334","Rejected"
"Q119851","Rejected"
"Q119650","Rejected"
"Q118892","Rejected"
"Q118117","Rejected"
"Q118232","Confirmed"
"Q118233","Confirmed"
"Q118237","Rejected"
"Q117186","Rejected"
"Q117193","Rejected"
"Q116797","Rejected"
"Q116881","Rejected"
"Q116953","Rejected"
"Q116601","Rejected"
"Q116441","Rejected"
"Q116448","Rejected"
"Q116197","Tentative"
"Q115602","Rejected"
"Q115777","Rejected"
"Q115610","Rejected"
"Q115611","Confirmed"
"Q115899","Rejected"
"Q115390","Rejected"
"Q114961","Rejected"
"Q114748","Rejected"
"Q115195","Rejected"
"Q114517","Rejected"
"Q114386","Rejected"
"Q113992","Rejected"
"Q114152","Rejected"
"Q113583","Rejected"
"Q113584","Rejected"
"Q113181","Confirmed"
"Q112478","Rejected"
"Q112512","Rejected"
"Q112270","Rejected"
"Q111848","Rejected"
"Q111580","Rejected"
"Q111220","Rejected"
"Q110740","Confirmed"
"Q109367","Rejected"
"Q108950","Rejected"
"Q109244","Confirmed"
"Q108855","Confirmed"
"Q108617","Rejected"
"Q108856","Tentative"
"Q108754","Rejected"
"Q108342","Rejected"
"Q108343","Rejected"
"Q107869","Rejected"
"Q107491","Confirmed"
"Q106993","Rejected"
"Q106997","Rejected"
"Q106272","Confirmed"
"Q106388","Confirmed"
"Q106389","Confirmed"
"Q106042","Confirmed"
"Q105840","Confirmed"
"Q105655","Confirmed"
"Q104996","Rejected"
"Q103293","Rejected"
"Q102906","Rejected"
"Q102674","Rejected"
"Q102687","Rejected"
"Q102289","Rejected"
"Q102089","Rejected"
"Q101162","Rejected"
"Q101163","Confirmed"
"Q101596","Tentative"
"Q100689","Rejected"
"Q100680","Rejected"
"Q100562","Rejected"
"Q99982","Rejected"
"Q100010","Confirmed"
"Q99716","Rejected"
"Q99581","Rejected"
"Q99480","Confirmed"
"Q98869","Confirmed"
"Q98578","Rejected"
"Q98059","Confirmed"
"Q98078","Rejected"
"Q98197","Confirmed"
"Q96024","Rejected"
