Model.Technique,SplitRatio,Threshold,AUC,TrainingSet_Accuracy,TestingSet_Accuracy
CART,0.75,,,0.6158,0.6269
CART,0.70,,,0.6166,0.6231
CART,0.60,,,0.6155,0.6231
CART,0.65,,,0.6164,0.6225
CART,0.55,,,0.6340,0.6225
CART,0.80,,,0.6169,0.6181
CART,0.50,,,0.6365,0.6078
glm,0.60,0.50,0.6616,0.6803,0.6128
glm,0.55,0.55,0.6603,0.6686,0.6101
glm,0.60,0.55,0.6616,0.6695,0.6101
glm,0.80,0.50,0.6618,0.6751,0.6101
glm,0.55,0.45,0.6603,0.6765,0.6085
glm,0.65,0.45,0.6608,0.6645,0.6081
glm,0.55,0.50,0.6603,0.6810,0.6081
glm,0.80,0.45,0.6618,0.6674,0.6074
glm,0.80,0.55,0.6618,0.6634,0.6065
glm,0.70,0.55,0.6587,0.6690,0.6058
glm,0.65,0.50,0.6608,0.6759,0.6055
glm,0.60,0.60,0.6616,0.6539,0.6047
glm,0.80,0.40,0.6618,0.6512,0.6047
glm,0.75,0.45,0.6589,0.6692,0.6046
glm,0.75,0.55,0.6589,0.6647,0.6046
glm,0.75,0.60,0.6589,0.6508,0.6046
glm,0.65,0.55,0.6608,0.6715,0.6040
glm,0.80,0.60,0.6618,0.6497,0.6029
glm,0.55,0.60,0.6603,0.6592,0.6021
glm,0.70,0.45,0.6587,0.6697,0.6016
glm,0.50,0.55,0.6527,0.6832,0.6014
glm,0.50,0.50,0.6527,0.6897,0.6006
glm,0.65,0.60,0.6608,0.6574,0.6004
glm,0.60,0.45,0.6616,0.6725,0.5993
glm,0.60,0.40,0.6616,0.6578,0.5988
glm,0.70,0.60,0.6587,0.6546,0.5986
glm,0.55,0.40,0.6603,0.6578,0.5985
glm,0.50,0.60,0.6527,0.6659,0.5981
glm,0.75,0.40,0.6589,0.6548,0.5981
glm,0.50,0.45,0.6527,0.6821,0.5974
glm,0.65,0.40,0.6608,0.6527,0.5968
glm,0.70,0.50,0.6587,0.6769,0.5968
glm,0.50,0.40,0.6527,0.6670,0.5960
glm,0.70,0.40,0.6587,0.6528,0.5950
glm,0.75,0.50,0.6589,0.6776,0.5938
RandomForest,0.70,,,0.6143,0.6369
RandomForest,0.60,,,0.6044,0.6366
RandomForest,0.75,,,0.6177,0.6341
RandomForest,0.50,,,0.5969,0.6298
RandomForest,0.65,,,0.6156,0.6297
RandomForest,0.55,,,0.6023,0.6288
RandomForest,0.80,,,0.6128,0.6271
