"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.65733274545148",0.599065084501978,0.594176851186197
"glm",0.5,"0.45","0.65733274545148",0.604458827759799,0.59920920201294
"glm",0.5,"0.5","0.65733274545148",0.612010068320748,0.607117181883537
"glm",0.5,"0.55","0.65733274545148",0.59546925566343,0.612508986340762
"glm",0.5,"0.6","0.65733274545148",0.564904710535779,0.580877066858375
"CART",0.5,"","",0.611290902553039,0.615025161754134
"RandomForest",0.5,"","",0.573175116864437,0.597411933860532
"glm",0.55,"0.4","0.667797676719521",0.593464052287582,0.598481821813823
"glm",0.55,"0.45","0.667797676719521",0.60359477124183,0.604874151018778
"glm",0.55,"0.5","0.667797676719521",0.605882352941176,0.614862165401518
"glm",0.55,"0.55","0.667797676719521",0.588562091503268,0.62365161805833
"glm",0.55,"0.6","0.667797676719521",0.557843137254902,0.576907710747103
"CART",0.55,"","",0.613071895424837,0.621254494606472
"RandomForest",0.55,"","",0.57516339869281,0.600079904115062
"glm",0.6,"0.4","0.666337459895649",0.595744680851064,0.599730458221024
"glm",0.6,"0.45","0.666337459895649",0.604435121366497,0.606918238993711
"glm",0.6,"0.5","0.666337459895649",0.606832484267306,0.61769991015274
"glm",0.6,"0.55","0.666337459895649",0.595145340125862,0.627583108715184
"glm",0.6,"0.6","0.666337459895649",0.569973029667366,0.585804132973944
"CART",0.6,"","",0.614324243332334,0.620395327942498
"RandomForest",0.6,"","",0.583158525621816,0.596136567834681
"glm",0.65,"0.4","0.665834815944424",0.594579646017699,0.600410888546482
"glm",0.65,"0.45","0.665834815944424",0.604258849557522,0.60708782742681
"glm",0.65,"0.5","0.665834815944424",0.613938053097345,0.617360041088855
"glm",0.65,"0.55","0.665834815944424",0.601216814159292,0.621982537236775
"glm",0.65,"0.6","0.665834815944424",0.575221238938053,0.587057010785824
"CART",0.65,"","",0.610896017699115,0.618900873138161
"RandomForest",0.65,"","",0.586006637168142,0.590138674884438
"glm",0.7,"0.4","0.666458405396058",0.59527478171546,0.602756141402037
"glm",0.7,"0.45","0.666458405396058",0.60220852593734,0.609346914319952
"glm",0.7,"0.5","0.666458405396058",0.615562403697997,0.619532654284002
"glm",0.7,"0.55","0.666458405396058",0.600924499229584,0.621929298981426
"glm",0.7,"0.6","0.666458405396058",0.577041602465331,0.58777711204314
"CART",0.7,"","",0.605803800719055,0.611743559017376
"RandomForest",0.7,"","",0.582434514637905,0.59796285200719
"glm",0.75,"0.4","0.666394881306562",0.594199424736337,0.607476635514019
"glm",0.75,"0.45","0.666394881306562",0.604266538830297,0.606038820992092
"glm",0.75,"0.5","0.666394881306562",0.615052732502397,0.621135873472322
"glm",0.75,"0.55","0.666394881306562",0.601629913710451,0.626887131560029
"glm",0.75,"0.6","0.666394881306562",0.578619367209971,0.588785046728972
"CART",0.75,"","",0.606184084372004,0.611790079079799
"RandomForest",0.75,"","",0.585091083413231,0.611071171818835
"glm",0.8,"0.4","0.666490585604564",0.592584269662921,0.611859838274933
"glm",0.8,"0.45","0.666490585604564",0.604269662921348,0.606469002695418
"glm",0.8,"0.5","0.666490585604564",0.613932584269663,0.624438454627134
"glm",0.8,"0.55","0.666490585604564",0.603595505617977,0.635220125786163
"glm",0.8,"0.6","0.666490585604564",0.57752808988764,0.590296495956873
"CART",0.8,"","",0.606516853932584,0.611859838274933
"RandomForest",0.8,"","",0.589438202247191,0.601078167115903
