"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.655410631151686",0.592952175476447,0.598130841121495
"glm",0.5,"0.45","0.655410631151686",0.592952175476447,0.598130841121495
"glm",0.5,"0.5","0.655410631151686",0.612729234088457,0.606398274622574
"glm",0.5,"0.55","0.655410631151686",0.60230133045667,0.612508986340762
"glm",0.5,"0.6","0.655410631151686",0.599065084501978,0.608195542774982
"CART",0.5,"","",0.613448399856167,0.607476635514019
"RandomForest",0.5,"","",0.610212153901474,0.607476635514019
"glm",0.55,"0.4","0.659572702479635",0.590522875816993,0.6016779864163
"glm",0.55,"0.45","0.659572702479635",0.590522875816993,0.6016779864163
"glm",0.55,"0.5","0.659572702479635",0.601960784313725,0.615261685976828
"glm",0.55,"0.55","0.659572702479635",0.601633986928105,0.614462644826209
"glm",0.55,"0.6","0.659572702479635",0.597712418300654,0.610866959648422
"CART",0.55,"","",0.608823529411765,0.61246504194966
"RandomForest",0.55,"","",0.598039215686274,0.61246504194966
"glm",0.6,"0.4","0.655602861587322",0.591848966137249,0.601078167115903
"glm",0.6,"0.45","0.655602861587322",0.610728198981121,0.607816711590296
"glm",0.6,"0.5","0.655602861587322",0.610728198981121,0.607816711590296
"glm",0.6,"0.55","0.655602861587322",0.604435121366497,0.611859838274933
"glm",0.6,"0.6","0.655602861587322",0.59994006592748,0.609164420485175
"CART",0.6,"","",0.611627210068924,0.608715184186882
"RandomForest",0.6,"","",0.607132154629907,0.608715184186882
"glm",0.65,"0.4","0.657200194857458",0.591261061946903,0.603492552645095
"glm",0.65,"0.45","0.657200194857458",0.591261061946903,0.603492552645095
"glm",0.65,"0.5","0.657200194857458",0.607300884955752,0.609142270159219
"glm",0.65,"0.55","0.657200194857458",0.606194690265487,0.613251155624037
"glm",0.65,"0.6","0.657200194857458",0.60287610619469,0.605033384694402
"CART",0.65,"","",0.608683628318584,0.612737544940935
"RandomForest",0.65,"","",0.59983407079646,0.612737544940935
"glm",0.7,"0.4","0.661229534186556",0.590138674884438,0.60814859197124
"glm",0.7,"0.45","0.661229534186556",0.590138674884438,0.60814859197124
"glm",0.7,"0.5","0.661229534186556",0.607858243451464,0.61114439784302
"glm",0.7,"0.55","0.661229534186556",0.606831022085259,0.612941881366088
"glm",0.7,"0.6","0.661229534186556",0.60220852593734,0.606950269622529
"CART",0.7,"","",0.609142270159219,0.612342720191732
"RandomForest",0.7,"","",0.609142270159219,0.612342720191732
"glm",0.75,"0.4","0.659224727073556",0.591323106423778,0.608195542774982
"glm",0.75,"0.45","0.659224727073556",0.591323106423778,0.608195542774982
"glm",0.75,"0.5","0.659224727073556",0.609060402684564,0.604601006470165
"glm",0.75,"0.55","0.659224727073556",0.608581016299137,0.608914450035945
"glm",0.75,"0.6","0.659224727073556",0.603547459252157,0.603882099209202
"CART",0.75,"","",0.610738255033557,0.608195542774982
"RandomForest",0.75,"","",0.610498561840844,0.608195542774982
"glm",0.8,"0.4","0.661034773309136",0.592808988764045,0.606469002695418
"glm",0.8,"0.45","0.661034773309136",0.592808988764045,0.606469002695418
"glm",0.8,"0.5","0.661034773309136",0.607191011235955,0.610961365678347
"glm",0.8,"0.55","0.661034773309136",0.606516853932584,0.617250673854447
"glm",0.8,"0.6","0.661034773309136",0.602247191011236,0.609164420485175
"CART",0.8,"","",0.60876404494382,0.615453728661276
"RandomForest",0.8,"","",0.602247191011236,0.615453728661276
