"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4","0.674352703175859",0.594030924128012,0.599928109273904
"glm",0.5,"0.45","0.674352703175859",0.608773822366055,0.613227893601725
"glm",0.5,"0.5","0.674352703175859",0.62962962962963,0.622214234363767
"glm",0.5,"0.55","0.674352703175859",0.609492988133765,0.627965492451474
"glm",0.5,"0.6","0.674352703175859",0.57641136281913,0.601006470165349
"CART",0.5,"","",0.619201725997843,0.623292595255212
"RandomForest",0.5,"","",0.611650485436893,0.617541337167505
"glm",0.55,"0.4","0.679209343873193",0.591503267973856,0.603675589292849
"glm",0.55,"0.45","0.679209343873193",0.598692810457516,0.616460247702757
"glm",0.55,"0.5","0.679209343873193",0.623529411764706,0.626448262085497
"glm",0.55,"0.55","0.679209343873193",0.60718954248366,0.632441070715142
"glm",0.55,"0.6","0.679209343873193",0.578758169934641,0.602876548142229
"CART",0.55,"","",0.615686274509804,0.628046344386736
"RandomForest",0.55,"","",0.608496732026144,0.62405113863364
"glm",0.6,"0.4","0.674772742003435",0.59724303266407,0.603324348607367
"glm",0.6,"0.45","0.674772742003435",0.609229847168115,0.614106019766397
"glm",0.6,"0.5","0.674772742003435",0.627809409649386,0.620395327942498
"glm",0.6,"0.55","0.674772742003435",0.611926880431525,0.627583108715184
"glm",0.6,"0.6","0.674772742003435",0.580161821995805,0.604222821203953
"CART",0.6,"","",0.621816002397363,0.615902964959569
"RandomForest",0.6,"","",0.614923584057537,0.619946091644205
"glm",0.65,"0.4","0.674286758164951",0.600387168141593,0.605546995377504
"glm",0.65,"0.45","0.674286758164951",0.607577433628319,0.617360041088855
"glm",0.65,"0.5","0.674286758164951",0.620851769911504,0.626605033384694
"glm",0.65,"0.55","0.674286758164951",0.616426991150443,0.624036979969183
"glm",0.65,"0.6","0.674286758164951",0.588495575221239,0.600410888546482
"CART",0.65,"","",0.617809734513274,0.627118644067797
"RandomForest",0.65,"","",0.607024336283186,0.621468926553672
"glm",0.7,"0.4","0.674919289749798",0.600410888546482,0.606351108448173
"glm",0.7,"0.45","0.674919289749798",0.606060606060606,0.618334331935291
"glm",0.7,"0.5","0.674919289749798",0.62557781201849,0.623127621330138
"glm",0.7,"0.55","0.674919289749798",0.617103235747304,0.62133013780707
"glm",0.7,"0.6","0.674919289749798",0.587570621468927,0.593768723786699
"CART",0.7,"","",0.617616846430406,0.629119233073697
"RandomForest",0.7,"","",0.604006163328197,0.626722588376273
"glm",0.75,"0.4","0.672722708392981",0.602828379674017,0.601006470165349
"glm",0.75,"0.45","0.672722708392981",0.607861936720997,0.613227893601725
"glm",0.75,"0.5","0.672722708392981",0.622962607861937,0.624730409777139
"glm",0.75,"0.55","0.672722708392981",0.619367209971237,0.617541337167505
"glm",0.75,"0.6","0.672722708392981",0.591802492809204,0.601006470165349
"CART",0.75,"","",0.619367209971237,0.626168224299065
"RandomForest",0.75,"","",0.609300095877277,0.614665708123652
"glm",0.8,"0.4","0.677752211815795",0.597528089887641,0.606469002695418
"glm",0.8,"0.45","0.677752211815795",0.610337078651685,0.611859838274933
"glm",0.8,"0.5","0.677752211815795",0.62314606741573,0.628930817610063
"glm",0.8,"0.55","0.677752211815795",0.61752808988764,0.624438454627134
"glm",0.8,"0.6","0.677752211815795",0.591011235955056,0.606469002695418
"CART",0.8,"","",0.618426966292135,0.63162623539982
"RandomForest",0.8,"","",0.614831460674157,0.633423180592992
