Model.Technique,SplitRatio,Threshold,AUC,TrainingSet_Accuracy,TestingSet_Accuracy
glm,0.5,0.4,0.670093759,0.603380079,0.60496046
glm,0.5,0.5,0.670093759,0.628550881,0.617181884
glm,0.5,0.6,0.670093759,0.593671341,0.597771387
CART,0.5,,0.654026169,0.625314635,0.615384615
RandomForest,0.5,,NA,0.626033801,0.614665708
glm,0.6,0.4,0.673873027,0.605933473,0.603324349
glm,0.6,0.5,0.673873027,0.62810908,0.623539982
glm,0.6,0.6,0.673873027,0.593646988,0.609613657
CART,0.6,,0.655948002,0.622115673,0.61769991
RandomForest,0.6,,NA,0.608031166,0.624887691
glm,0.7,0.4,0.672800646,0.601694915,0.60215698
glm,0.7,0.5,0.672800646,0.632254751,0.620131815
glm,0.7,0.6,0.672800646,0.596558808,0.604553625
CART,0.7,,0.662897786,0.623780175,0.62732175
RandomForest,0.7,,NA,0.626348228,0.613541043
glm,0.8,0.4,0.675623035,0.605617978,0.602875112
glm,0.8,0.5,0.675623035,0.627865169,0.619047619
glm,0.8,0.6,0.675623035,0.596629213,0.614555256
CART,0.8,,0.662382928,0.623146067,0.631626235
RandomForest,0.8,,NA,0.620898876,0.614555256
glm,0.9,0.4,0.697447886,0.600359497,0.613309353
glm,0.9,0.5,0.697447886,0.624126223,0.631294964
glm,0.9,0.6,0.697447886,0.598961454,0.636690647
CART,0.9,,0.673738554,0.618134612,0.647482014
RandomForest,0.9,,NA,0.627920911,0.627697842
glm,0.95,0.4,0.70486057,0.599243141,0.618705036
glm,0.95,0.5,0.70486057,0.624030274,0.629496403
glm,0.95,0.6,0.70486057,0.599432356,0.629496403
CART,0.95,,0.688087449,0.61948912,0.651079137
RandomForest,0.95,,NA,0.626111637,0.636690647
