"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4",0.66984399517591,0.601941747572815,0.608554996405464
"glm",0.5,"0.5",0.66984399517591,0.626393383674937,0.620057512580877
"glm",0.5,"0.6",0.66984399517591,0.590435095289464,0.596333572969087
"CART",0.5,"",0.655736386860841,0.619201725997843,0.623292595255212
"RandomForest",0.5,"",NA,0.613088816972312,0.617900790797987
"glm",0.6,"0.4",0.672842061768805,0.6053341324543,0.605570530098832
"glm",0.6,"0.5",0.672842061768805,0.625711717111178,0.620395327942498
"glm",0.6,"0.6",0.672842061768805,0.586454899610429,0.602875112309075
"CART",0.6,"",0.659049810415789,0.627210068924183,0.626684636118598
"RandomForest",0.6,"",NA,0.61312556188193,0.619946091644205
"glm",0.7,"0.4",0.673313732272571,0.599640472521829,0.60814859197124
"glm",0.7,"0.5",0.673313732272571,0.62326656394453,0.619532654284002
"glm",0.7,"0.6",0.673313732272571,0.597072419106317,0.598562013181546
"CART",0.7,"",0.662298224374496,0.617616846430406,0.629119233073697
"RandomForest",0.7,"",NA,0.625834617360041,0.614739364889155
"glm",0.8,"0.4",0.6755841462229,0.600674157303371,0.609164420485175
"glm",0.8,"0.5",0.6755841462229,0.622696629213483,0.616352201257862
"glm",0.8,"0.6",0.6755841462229,0.595730337078652,0.606469002695418
"CART",0.8,"",0.662382927698739,0.62314606741573,0.63162623539982
"RandomForest",0.8,"",NA,0.622247191011236,0.617250673854447
"glm",0.9,"0.4",0.693369699331125,0.600758937487518,0.615107913669065
"glm",0.9,"0.5",0.693369699331125,0.620531256241262,0.629496402877698
"glm",0.9,"0.6",0.693369699331125,0.594168164569603,0.620503597122302
"CART",0.9,"",0.673738554451588,0.618134611543839,0.647482014388489
"RandomForest",0.9,"",NA,0.620930697024166,0.643884892086331
"glm",0.95,"0.4",0.699875369995327,0.600946073793756,0.618705035971223
"glm",0.95,"0.5",0.699875369995327,0.621570482497635,0.629496402877698
"glm",0.95,"0.6",0.699875369995327,0.599810785241249,0.629496402877698
"CART",0.95,"",0.688087448719946,0.619489120151372,0.651079136690647
"RandomForest",0.95,"",NA,0.621002838221381,0.643884892086331
