"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4",0.669910650603659,0.596907587198849,0.601725377426312
"glm",0.5,"0.5",0.669910650603659,0.623157137720245,0.61861969805895
"glm",0.5,"0.6",0.669910650603659,0.588277597986336,0.596693026599569
"CART",0.5,"",0.655736386860841,0.619201725997843,0.623292595255212
"RandomForest",0.5,"",NA,0.626752966558792,0.624011502516175
"glm",0.6,"0.4",0.673626324658911,0.601738088103087,0.609613656783468
"glm",0.6,"0.5",0.673626324658911,0.620617320946958,0.623090745732255
"glm",0.6,"0.6",0.673626324658911,0.589151932873839,0.60377358490566
"CART",0.6,"",0.659049810415789,0.627210068924183,0.626684636118598
"RandomForest",0.6,"",NA,0.620317650584357,0.621293800539084
"glm",0.7,"0.4",0.67246411276375,0.601181304571135,0.613541042540443
"glm",0.7,"0.5",0.67246411276375,0.620184899845917,0.621929298981426
"glm",0.7,"0.6",0.67246411276375,0.5929635336415,0.599760335530258
"CART",0.7,"",0.662298224374496,0.617616846430406,0.629119233073697
"RandomForest",0.7,"",NA,0.61864406779661,0.621929298981426
"glm",0.8,"0.4",0.673686683734647,0.604719101123596,0.60377358490566
"glm",0.8,"0.5",0.673686683734647,0.620449438202247,0.620844564240791
"glm",0.8,"0.6",0.673686683734647,0.591685393258427,0.601078167115903
"CART",0.8,"",0.662382927698739,0.62314606741573,0.63162623539982
"RandomForest",0.8,"",NA,0.621573033707865,0.619946091644205
"glm",0.9,"0.4",0.691129294110007,0.599560615138806,0.607913669064748
"glm",0.9,"0.5",0.691129294110007,0.620531256241262,0.642086330935252
"glm",0.9,"0.6",0.691129294110007,0.592370681046535,0.613309352517986
"CART",0.9,"",0.673738554451588,0.618134611543839,0.647482014388489
"RandomForest",0.9,"",NA,0.620730976632714,0.649280575539568
"glm",0.95,"0.4",0.700862024198992,0.600378429517502,0.615107913669065
"glm",0.95,"0.5",0.700862024198992,0.621381267738884,0.647482014388489
"glm",0.95,"0.6",0.700862024198992,0.587511825922422,0.611510791366906
"CART",0.95,"",0.688087448719946,0.619489120151372,0.651079136690647
"RandomForest",0.95,"",NA,0.621948912015137,0.647482014388489
