"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy"
"glm",0.5,"0.4",0.672247740329127,0.599424667385832,0.599928109273904
"glm",0.5,"0.5",0.672247740329127,0.617044228694714,0.624011502516175
"glm",0.5,"0.6",0.672247740329127,0.581805106076951,0.602084831056794
"CART",0.5,"",0.655736386860841,0.619201725997843,0.623292595255212
"RandomForest",0.5,"",NA,0.610571736785329,0.61646297627606
"glm",0.6,"0.4",0.673969034578864,0.596943362301468,0.601976639712489
"glm",0.6,"0.5",0.673969034578864,0.616421935870542,0.628032345013477
"glm",0.6,"0.6",0.673969034578864,0.575067425831585,0.595687331536388
"CART",0.6,"",0.656873237839064,0.620317650584357,0.622641509433962
"RandomForest",0.6,"",NA,0.612226550794126,0.619496855345912
"glm",0.7,"0.4",0.673267612129598,0.595788392398562,0.604553624925105
"glm",0.7,"0.5",0.673267612129598,0.615819209039548,0.632115038945476
"glm",0.7,"0.6",0.673267612129598,0.589111453518233,0.595566207309766
"CART",0.7,"",0.662298224374496,0.617616846430406,0.629119233073697
"RandomForest",0.7,"",NA,0.62095531587057,0.623726782504494
"glm",0.8,"0.4",0.675362154454418,0.597752808988764,0.601078167115903
"glm",0.8,"0.5",0.675362154454418,0.616404494382022,0.635220125786163
"glm",0.8,"0.6",0.675362154454418,0.58247191011236,0.592093441150045
"CART",0.8,"",0.662382927698739,0.62314606741573,0.63162623539982
"RandomForest",0.8,"",NA,0.613033707865169,0.624438454627134
"glm",0.9,"0.4",0.688077147866745,0.59796285200719,0.602517985611511
"glm",0.9,"0.5",0.688077147866745,0.616337128020771,0.651079136690647
"glm",0.9,"0.6",0.688077147866745,0.581985220691033,0.595323741007194
"CART",0.9,"",0.673738554451588,0.618134611543839,0.647482014388489
"RandomForest",0.9,"",NA,0.617535450369483,0.633093525179856
"glm",0.95,"0.4",0.696240328192346,0.597729422894986,0.611510791366906
"glm",0.95,"0.5",0.696240328192346,0.617975402081362,0.654676258992806
"glm",0.95,"0.6",0.696240328192346,0.581835383159886,0.611510791366906
"CART",0.95,"",0.688087448719946,0.619489120151372,0.651079136690647
"RandomForest",0.95,"",NA,0.620624408703879,0.636690647482014
