"Model.Technique","SplitRatio","Threshold","AUC","TrainingSet_Accuracy","TestingSet_Accuracy","Prediction Formula"
"glm",0.99,"0.5",0.464854111405836,0.534313725490196,0.490909090909091,"Party ~ YOB + Income"
"CART",0.99,"",NA,0.530137981118373,0.527272727272727,"Party ~ YOB + Income"
"RandomForest",0.99,"",NA,0.523238925199709,0.545454545454545,"Party ~ YOB + Income"
"glm",0.99,"0.5",0.594827586206897,0.540668119099492,0.545454545454545,"Party ~ YOB + Income + EducationLevel"
"CART",0.99,"",NA,0.530137981118373,0.527272727272727,"Party ~ YOB + Income + EducationLevel"
"RandomForest",0.99,"",NA,0.521604938271605,0.618181818181818,"Party ~ YOB + Income + EducationLevel"
"glm",0.99,"0.5",0.596153846153846,0.593318809005083,0.545454545454545,"Party ~ YOB + Income + EducationLevel + Q109244"
"CART",0.99,"",NA,0.595860566448802,0.563636363636364,"Party ~ YOB + Income + EducationLevel + Q109244"
"RandomForest",0.99,"",NA,0.573529411764706,0.545454545454545,"Party ~ YOB + Income + EducationLevel + Q109244"
"glm",0.99,"0.5",0.672413793103448,0.606935366739288,0.581818181818182,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus"
"CART",0.99,"",NA,0.595860566448802,0.563636363636364,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus"
"RandomForest",0.99,"",NA,0.579520697167756,0.545454545454545,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus"
"glm",0.99,"0.5",0.726790450928382,0.625090777051561,0.636363636363636,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181"
"CART",0.99,"",NA,0.620551924473493,0.672727272727273,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181"
"RandomForest",0.99,"",NA,0.612745098039216,0.672727272727273,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181"
"glm",0.99,"0.5",0.726790450928382,0.626361655773421,0.672727272727273,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163"
"CART",0.99,"",NA,0.620551924473493,0.672727272727273,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163"
"RandomForest",0.99,"",NA,0.607480029048657,0.636363636363636,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163"
"glm",0.99,"0.5",0.708222811671088,0.629084967320261,0.672727272727273,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender"
"CART",0.99,"",NA,0.620551924473493,0.672727272727273,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender"
"RandomForest",0.99,"",NA,0.609658678286129,0.654545454545455,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender"
"glm",0.99,"0.5",0.722811671087533,0.617465504720407,0.636363636363636,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611"
"CART",0.99,"",NA,0.613471314451707,0.618181818181818,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611"
"RandomForest",0.99,"",NA,0.602578068264343,0.563636363636364,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611"
"glm",0.99,"0.5",0.738726790450928,0.624546114742193,0.636363636363636,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197"
"CART",0.99,"",NA,0.620551924473493,0.672727272727273,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197"
"RandomForest",0.99,"",NA,0.61238198983297,0.690909090909091,"Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197"
