Model.Technique,SplitRatio,Threshold,AUC,TrainingSet_Accuracy,TestingSet_Accuracy,Prediction Formula
glm,0.99,0.5,0.464854111,0.534313725,0.490909091,Party ~ YOB + Income
CART,0.99,,,0.530137981,0.527272727,Party ~ YOB + Income
RandomForest,0.99,,,0.523238925,0.545454545,Party ~ YOB + Income
glm,0.99,0.5,0.594827586,0.540668119,0.545454545,Party ~ YOB + Income + EducationLevel
CART,0.99,,,0.530137981,0.527272727,Party ~ YOB + Income + EducationLevel
RandomForest,0.99,,,0.521604938,0.618181818,Party ~ YOB + Income + EducationLevel
glm,0.99,0.5,0.596153846,0.593318809,0.545454545,Party ~ YOB + Income + EducationLevel + Q109244
CART,0.99,,,0.595860566,0.563636364,Party ~ YOB + Income + EducationLevel + Q109244
RandomForest,0.99,,,0.573529412,0.545454545,Party ~ YOB + Income + EducationLevel + Q109244
glm,0.99,0.5,0.672413793,0.606935367,0.581818182,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
CART,0.99,,,0.595860566,0.563636364,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
RandomForest,0.99,,,0.579520697,0.545454545,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus
glm,0.99,0.5,0.722811671,0.617465505,0.636363636,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611
CART,0.99,,,0.613471314,0.618181818,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611
RandomForest,0.99,,,0.602578068,0.563636364,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611
glm,0.99,0.5,0.726790451,0.625090777,0.636363636,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
CART,0.99,,,0.620551924,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
RandomForest,0.99,,,0.612745098,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181
glm,0.99,0.5,0.73872679,0.624546115,0.636363636,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197
CART,0.99,,,0.620551924,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197
RandomForest,0.99,,,0.61238199,0.690909091,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197
glm,0.99,0.5,0.726790451,0.626361656,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
CART,0.99,,,0.620551924,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
RandomForest,0.99,,,0.607480029,0.636363636,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163
glm,0.99,0.5,0.708222812,0.629084967,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
CART,0.99,,,0.620551924,0.672727273,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
RandomForest,0.99,,,0.609658678,0.654545455,Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender
