"Model.Technique","SplitRatio","Threshold","Training.AUC","Test.AUC","TrainingSet.Accuracy","TestSet.Accuracy","Next.Variable","Prediction.Formula"
"glm",0.6,0.5,0.684994945547469,0.652612859318794,0.632004794725802,0.606918238993711,NA,""
"glm",0.8,0.5,0.676435313214812,0.661595424052888,0.628089887640449,0.613656783468104,NA,""
"glm",0.999,0.5,0.673633769916459,1,0.626777037970128,1,NA,""
"glm",0.6,0.5,0.686030531489023,0.653480976763784,0.633503146538807,0.610512129380054,"Gender","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender"
"glm",0.8,0.5,0.677215823725453,0.663199598146288,0.631011235955056,0.611859838274933,"Gender","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender"
"glm",0.999,0.5,0.674592492517559,1,0.628576570091776,1,"Gender","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Gender"
"glm",0.6,0.5,0.686435933191817,0.653795735165442,0.633802816901408,0.610961365678347,"Q110740","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q110740"
"glm",0.8,0.5,0.67776532339794,0.662394270343845,0.628314606741573,0.610961365678347,"Q110740","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q110740"
"glm",0.999,0.5,0.674830206840716,1,0.627676804030952,1,"Q110740","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q110740"
"glm",0.6,0.5,0.68484046388482,0.653540525650583,0.62900809109979,0.606019766397125,"Q103293","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q103293"
"glm",0.8,0.5,0.676527960826077,0.663264413261172,0.629662921348315,0.611859838274933,"Q103293","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q103293"
"glm",0.999,0.5,0.674109913590814,1,0.628396616879611,1,"Q103293","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q103293"
"glm",0.6,0.5,0.685872444653387,0.653826927439479,0.635001498351813,0.611859838274933,"Q104996","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q104996"
"glm",0.8,0.5,0.677799990228416,0.661535470071621,0.631910112359551,0.607367475292004,"Q104996","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q104996"
"glm",0.999,0.5,0.674388319509893,1,0.626057225121468,1,"Q104996","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q104996"
"glm",0.6,0.5,0.685136809104649,0.652566273454971,0.632004794725802,0.609164420485175,"Q114748","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114748"
"glm",0.8,0.5,0.676440685559886,0.661660239167774,0.629213483146067,0.611859838274933,"Q114748","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114748"
"glm",0.999,0.5,0.673610889019069,1,0.625337412272809,1,"Q114748","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q114748"
"glm",0.6,0.5,0.685316887495529,0.652930453381729,0.631405454000599,0.610512129380054,"Q115777","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q115777"
