ID,Team.Name,Public.Score,Public.Rank,Private.Score,Private.Rank,Delta.Score,Delta.Rank
1,HugoSilveiradaCunha,0.91523,8,0.92241,1,0.00718,-7
2,@mos,0.92672,2,0.92098,2,-0.00574,0
3,Elie,0.92241,4,0.91523,3,-0.00718,-1
4,Keks,0.92098,5,0.91379,4,-0.00719,-1
5,WeiredName1,0.91954,6,0.90948,5,-0.01006,-1
6,Komaxx,0.90805,11,0.90517,6,-0.00288,-5
7,Ohm J. Patel,0.94540,1,0.90230,7,-0.04310,6
8,Artur B,0.91379,9,0.90230,8,-0.01149,-1
9,Stefan Hoglund,0.91523,7,0.90086,9,-0.01437,2
10,ShedrickBridgeforth,0.90948,10,0.89799,10,-0.01149,0
11,Fon Fox,0.87356,12,0.86063,11,-0.01293,-1
12,??? ???,0.61925,2176,0.86063,11,0.24138,-2165
13,Wynnie,0.76293,13,0.78161,12,0.01868,-1
14,chrislit,0.75575,14,0.77443,13,0.01868,-1
15,RandXie,0.74856,15,0.77011,14,0.02155,-1
16,A_Z_L,0.73994,17,0.76580,15,0.02586,-2
17,PJBu,0.74856,16,0.76437,16,0.01581,0
18,William Chiu,0.72270,19,0.74282,17,0.02012,-2
19,SergeyP,0.71552,21,0.73994,18,0.02442,-3
20,KishoreKumar,0.70977,24,0.73276,19,0.02299,-5
21,RahulMadhavan,0.71552,22,0.72845,20,0.01293,-2
22,Ayush Singh,0.72701,18,0.72701,21,0.00000,3
23,Cristinaatx,0.67960,25,0.71839,22,0.03879,-3
24,lzwhite,0.72126,20,0.70690,23,-0.01436,3
25,bouillabaisse,0.71264,23,0.70115,24,-0.01149,1
26,Fan Luo,0.64080,690,0.66236,25,0.02156,-665
27,GabeIsman,0.64655,438,0.66236,26,0.01581,-412
28,AndresPerez,0.62931,1632,0.66236,27,0.03305,-1605
29,Rohan Sachdev,0.65661,134,0.65948,28,0.00287,-106
30,SergioAntonio,0.64943,324,0.65805,29,0.00862,-295
31,DagnyT,0.66667,40,0.65805,30,-0.00862,-10
32,Caio Taniguchi,0.64655,440,0.65805,31,0.01150,-409
33,RobertMiller,0.64368,540,0.65661,32,0.01293,-508
34,Jin Guo,0.64511,528,0.65661,33,0.01150,-495
35,inigojpuente,0.64224,619,0.65517,34,0.01293,-585
36,Vinod Sundaram,0.64080,750,0.65517,35,0.01437,-715
37,Sebastian,0.64799,401,0.65517,36,0.00718,-365
38,GeethaGopakumar,0.62069,2139,0.65517,37,0.03448,-2102
39,Bruno Sarlandie,0.65230,200,0.65374,38,0.00144,-162
40,Bastol,0.64943,306,0.65374,39,0.00431,-267
41,Rafael,0.64799,370,0.65374,40,0.00575,-330
42,???? ???????,0.62931,1586,0.65374,41,0.02443,-1545
43,dataanomaly,0.65374,179,0.65374,42,0.00000,-137
44,FRANCISCORODRIGUES,0.64511,506,0.65374,43,0.00863,-463
45,Edward Tsai,0.66236,67,0.65374,44,-0.00862,-23
46,Rituraj Singh,0.65374,169,0.65374,45,0.00000,-124
47,Saleha Siddique,0.63362,1217,0.65374,46,0.02012,-1171
48,neto71,0.64655,445,0.65374,47,0.00719,-398
49,Aris,0.62931,1473,0.65230,48,0.02299,-1425
50,Don Honeycutt,0.64799,355,0.65230,49,0.00431,-306
51,BBSchulte,0.65374,183,0.65230,50,-0.00144,-133
52,ololo,0.65230,233,0.65230,51,0.00000,-182
53,Taha Khan,0.63218,1327,0.65230,52,0.02012,-1275
54,Paul Kearney,0.64224,647,0.65230,53,0.01006,-594
55,AkshayKumar,0.63218,1329,0.65230,54,0.02012,-1275
56,Akshay Gaonkar,0.63506,1135,0.65230,55,0.01724,-1080
57,Ram.,0.64224,656,0.65230,56,0.01006,-600
58,Ron Luhtanen,0.64799,405,0.65230,57,0.00431,-348
59,JuanMiguelBallesteros,0.65661,135,0.65230,58,-0.00431,-77
60,Nigel_AR_Henry,0.63793,874,0.65086,59,0.01293,-815
61,Soslan Tabuev,0.65086,246,0.65086,60,0.00000,-186
62,dslenders,0.62356,1992,0.65086,61,0.02730,-1931
63,RMeads,0.65230,211,0.65086,62,-0.00144,-149
64,Sizenova,0.60632,2543,0.65086,63,0.04454,-2480
65,Dmitry Malugin,0.65086,274,0.65086,64,0.00000,-210
66,KiranIyer,0.64655,443,0.65086,65,0.00431,-378
